,Ingredients,Amount,Measure,Item
0,1 1/2 cups full-fat Greek yogurt,1.5 cup,cup,full fat Greek yogurt
1,2 tablespoons lemon juice,2 tbsp.,tablespoon,lemon juice
2,1 1/2 tablespoons ground turmeric,1.5 tbsp.,tablespoon,ground turmeric
3,2 tablespoons garam masala,2 tbsp.,tablespoon,garam masala
4,2 tablespoons ground cumin,2 tbsp.,tablespoon,ground cumin
5,"3 pounds chicken thighs, on the bone",3 lb,pound,chicken thighs
6,1/4 pound unsalted butter,0.25 lb,pound,unsalted butter
7,"4 teaspoons neutral oil, like vegetable or canola oil",4 tsp.,teaspoon,neutral oil
8,"2 medium-size yellow onions, peeled and diced",2 ,unit,medium size yellow onions
9,"4 cloves garlic, peeled and minced",4 clove,clove,garlic
10,"3 tablespoons fresh ginger, peeled and grated or finely diced",3 tbsp.,tablespoon,fresh ginger
11,1 tablespoon cumin seeds,1 tbsp.,tablespoon,cumin seeds
12,1 cinnamon stick,,, 1 cinnamon stick
13,"2 medium-size tomatoes, diced",2 ,unit,medium size tomatoes
14,"2 red chiles, like Anaheim, or 1 jalapeño pepper, seeded and diced",2 ,unit,red chiles
15,Kosher salt to taste,,, Kosher salt to taste
16,"2/3 cup chicken stock, low-sodium or homemade",0.666667 cup,cup,chicken stock
17,1 1/2 cups cream,1.5 cup,cup,cream
18,1 1/2 teaspoons tomato paste,1.5 tsp.,teaspoon,tomato paste
19,"3 tablespoons ground almonds, or finely chopped almonds",3 tbsp.,tablespoon,ground almonds
20,"1/2 bunch cilantro leaves, stems removed.",0.5 bunch,bunch,cilantro leaves
21,Kosher salt and freshly ground black pepper,,, Kosher salt and freshly ground black pepper
22,1 pound spaghetti,1 lb,pound,spaghetti
23,4 ounces guanciale or pancetta,4 oz,ounce,guanciale or pancetta
24,"2 tablespoons extra-virgin olive oil, plus more for garnish",2 tbsp.,tablespoon,extra virgin olive oil
25,"12 ounces frozen or canned artichoke quarters, defrosted or drained",12 oz,ounce,frozen or canned artichoke quarters
26,"6 large egg yolks, plus 4 yolks for an optional garnish",6 ,unit,large egg yolks
27,"1/4 cup freshly grated Pecorino Romano, plus more for garnish",0.25 cup,cup,freshly grated Pecorino Romano
28,"1/4 cup neutral oil, such as canola or grapeseed",0.25 cup,cup,neutral oil
29,"4 medium shallots, peeled and thinly sliced (about 1 cup)",4 ,unit,medium shallots
30,Kosher salt,,, Kosher salt
31,"4 garlic cloves, smashed and peeled",,, 4 garlic cloves
32,"1 (2- to 3-inch) piece fresh ginger, grated (about 2 tablespoons)",,, 1 (2  to 3 inch) piece fresh ginger
33,2 teaspoons ground turmeric,2 tsp.,teaspoon,ground turmeric
34,2 tablespoons tomato paste,2 tbsp.,tablespoon,tomato paste
35,"1 whole red habanero or Scotch bonnet chile, pierced all over with a knife",1 ,unit,whole red habanero or Scotch bonnet chile
36,1 (14-ounce) can whole peeled tomatoes with their juices,14 oz,ounce,can whole peeled tomatoes with their juices
37,"1 1/2 pounds white or orange yams, peeled and cut into 1 1/2-inch pieces",1.5 lb,pound,white or orange yams
38,"2 green (unripe) plantains (about 1 pound total), peeled and cut into 1 1/2-inch pieces",2 lb,pound,total )
39,1 (13-ounce) can full-fat coconut milk,13 oz,ounce,can full fat coconut milk
40,1 tablespoon red palm oil (optional),1 tbsp.,tablespoon,red palm oil ( optional )
41,"4 cups julienned hearty greens, such as dandelion greens, collards or lacinato kale, tough stems removed",4 cup,cup,julienned hearty greens
42,"1/4 cup fresh basil leaves, torn",0.25 cup,cup,fresh basil leaves
43,1/4 cup fresh cilantro leaves and tender stems,0.25 cup,cup,fresh cilantro leaves and tender stems
44,"1 lime, sliced into wedges for squeezing",1 ,unit,lime
45,"1/4 cup cooking oil (coconut oil works well, but any neutral oil will do), plus more if needed",0.25 cup,cup,cooking oil ( coconut oil works well
46,"2 cups sliced fresh okra (1/2 pound), about 1/2-inch thick",2 cup,cup,sliced fresh okra ( 1/2 pound )
47,1/2 cup finely chopped onions,0.5 cup,cup,finely chopped onions
48,2 teaspoons minced fresh garlic,2 tsp.,teaspoon,minced fresh garlic
49,1 teaspoon minced fresh ginger,1 tsp.,teaspoon,minced fresh ginger
50,"1 to 3 fresh hot peppers, such as bird’s eye or habanero, added to taste",1 ,unit,to 3 fresh hot peppers
51,1/2 teaspoon salt,0.5 tsp.,teaspoon,salt
52,1/4 teaspoon black pepper,0.25 tsp.,teaspoon,black pepper
53,"3 cups cooked long-grain non-aromatic rice, such as Carolina Gold (about 3/4 cups uncooked; leftover rice is good)",3 cup,cup,cooked long grain non aromatic rice
54,"1 pound paccheri pasta or other tubelike shape, such as penne or rigatoni",1 lb,pound,paccheri pasta or other tubelike shape
55,"8 ounces bacon, diced into 1/2-inch pieces",8 oz,ounce,bacon
56,"1 pound cherry tomatoes, halved",1 lb,pound,cherry tomatoes
57,Kosher salt and black pepper,,, Kosher salt and black pepper
58,5 ounces baby arugula,5 oz,ounce,baby arugula
59,"1/2 cup grated Pecorino Romano, plus more for serving",0.5 cup,cup,grated Pecorino Romano
60,"Flaky salt, for serving (optional)",,, Flaky salt
61,Kosher salt,,, Kosher salt
62,"8 tablespoons unsalted butter, cut into 1-inch pieces",8 tbsp.,tablespoon,unsalted butter
63,1/2 cup panko bread crumbs,0.5 cup,cup,panko bread crumbs
64,2 cups finely grated Parmesan,2 cup,cup,finely grated Parmesan
65,1 teaspoon fresh lemon zest (from 1 lemon),1 tsp.,teaspoon,fresh lemon zest ( from 1 lemon )
66,Black pepper,,, Black pepper
67,"1 pound casarecce, cavatappi or other small tubed or curly pasta",1 lb,pound,casarecce
68,"1 bunch broccoli rabe, trimmed, then cut into 1/2-inch pieces",1 bunch,bunch,broccoli rabe
69,1 cup heavy cream,1 cup,cup,heavy cream
70,"1 small garlic clove, grated",1 ,unit,small garlic clove
71,"6 ounces fresh mozzarella, cut into 1/2-inch pieces",6 oz,ounce,fresh mozzarella
72,"Salt, as needed",,, Salt
73,"1 pound fusilli, farfalle or other short pasta",1 lb,pound,fusilli
74,"2 tablespoons extra-virgin olive oil, plus more for serving",2 tbsp.,tablespoon,extra virgin olive oil
75,"1 large bunch scallions, thinly sliced, whites and greens separated",1 ,unit,large bunch scallions
76,"4 fat garlic cloves, thinly sliced",,, 4 fat garlic cloves
77,"1/4 teaspoon red-pepper flakes, plus more for serving",0.25 tsp.,teaspoon,red pepper flakes
78,"8 ounces cream cheese (1 cup), cubed",8 oz,ounce,cream cheese ( 1 cup )
79,"6 ounces goat cheese, cubed",6 oz,ounce,goat cheese
80,"2 (14-ounce) cans artichoke hearts (not marinated), drained and cut into 1-inch pieces",,, 2 (14 ounce) cans artichoke hearts (not marinated)
81,2 cups canned fried onions,2 cup,cup,canned fried onions
82,6 ounces shredded mozzarella cheese (1 1/2 cups),6 oz,ounce,shredded mozzarella cheese ( 1 1/2 cups )
83,1 cup chopped parsley,1 cup,cup,chopped parsley
84,1 cup chopped fresh dill,1 cup,cup,chopped fresh dill
85,1 teaspoon ground black pepper,1 tsp.,teaspoon,ground black pepper
86,1/2 cup grated Parmesan cheese,0.5 cup,cup,grated Parmesan cheese
87,1 cup farro,1 cup,cup,farro
88,1/2 cup dried green or brown lentils,0.5 cup,cup,dried green or brown lentils
89,"2 tablespoons extra-virgin olive oil, plus more for drizzling",2 tbsp.,tablespoon,extra virgin olive oil
90,"1 large yellow onion, coarsely chopped",1 ,unit,large yellow onion
